start_time,end_time,direction,spike_size_pips,elbow_type
2026.01.29 16:02,2026.01.29 16:07,bull,1703.0,Single
2026.01.29 17:01,2026.01.29 17:05,bull,1038.0,Single
2026.01.29 18:49,2026.01.29 18:54,bull,1490.0,None
2026.01.29 19:54,2026.01.29 19:59,bear,525.0,Single
2026.01.29 20:00,2026.01.29 20:04,bear,611.0,Single
2026.01.29 21:14,2026.01.29 21:23,bull,1236.0,Single
2026.01.29 21:24,2026.01.29 21:28,bear,340.0,Single
2026.01.29 22:00,2026.01.29 22:03,bear,402.0,None
2026.01.30 00:15,2026.01.30 00:21,bear,1285.0,Single
2026.01.30 02:23,2026.01.30 02:32,bull,7378.0,Single
2026.01.30 04:21,2026.01.30 04:25,bear,3241.0,None
2026.01.30 04:31,2026.01.30 04:34,bull,3076.0,None
2026.01.30 07:58,2026.01.30 07:59,bear,865.0,Single
2026.01.30 12:07,2026.01.30 12:17,bear,13110.0,Single
2026.01.30 12:25,2026.01.30 12:29,bull,4624.0,Single
2026.01.30 12:47,2026.01.30 12:52,bull,2366.0,Single
2026.01.30 19:07,2026.01.30 19:11,bear,3411.0,None
2026.01.30 19:12,2026.01.30 19:16,bear,5462.0,Single
2026.01.30 21:29,2026.01.30 21:32,bull,1463.0,Single
2026.01.30 21:38,2026.01.30 21:43,bull,1132.0,Single
2026.01.30 23:33,2026.01.30 23:39,bull,2247.0,Single
2026.01.31 00:43,2026.01.31 00:47,bull,2252.0,Single
2026.01.31 04:41,2026.01.31 04:51,bull,14027.0,None
2026.01.31 04:56,2026.01.31 04:59,bull,3292.0,Single
2026.01.31 06:49,2026.01.31 06:56,bear,6318.0,Single
2026.01.31 07:57,2026.01.31 07:59,bull,1149.0,None
2026.02.02 09:31,2026.02.02 09:39,bull,6711.0,Single
2026.02.02 10:03,2026.02.02 10:06,bear,2194.0,Single
2026.02.02 11:59,2026.02.02 12:02,bull,2693.0,Single
2026.02.02 12:22,2026.02.02 12:25,bear,1666.0,Single
2026.02.02 13:25,2026.02.02 13:30,bear,2429.0,None
2026.02.02 13:54,2026.02.02 13:59,bear,3535.0,None
2026.02.02 14:51,2026.02.02 14:53,bear,1570.0,None
2026.02.02 15:07,2026.02.02 15:09,bear,1848.0,None
2026.02.02 17:24,2026.02.02 17:29,bull,3090.0,Single
2026.02.02 18:19,2026.02.02 18:24,bull,3197.0,Single
2026.02.02 20:03,2026.02.02 20:07,bear,2168.0,None
2026.02.02 20:17,2026.02.02 20:26,bear,4537.0,Single
2026.02.02 21:43,2026.02.02 21:46,bear,818.0,Single
2026.02.02 21:52,2026.02.02 21:58,bear,1680.0,Single
2026.02.02 22:04,2026.02.02 22:07,bear,2309.0,None
2026.02.02 23:35,2026.02.02 23:43,bear,4546.0,Single
2026.02.03 01:21,2026.02.03 01:24,bull,2576.0,Single
2026.02.03 03:17,2026.02.03 03:24,bear,2205.0,Single
2026.02.03 05:07,2026.02.03 05:12,bull,2498.0,Single
2026.02.03 06:35,2026.02.03 06:39,bear,1430.0,Single
2026.02.03 07:06,2026.02.03 07:08,bear,653.0,None
2026.02.03 07:57,2026.02.03 07:59,bull,752.0,Single
2026.02.03 09:01,2026.02.03 09:09,bull,4705.0,Single
2026.02.03 11:30,2026.02.03 11:35,bear,1737.0,Single
2026.02.03 14:51,2026.02.03 14:56,bear,822.0,Single
2026.02.03 15:25,2026.02.03 15:31,bull,2034.0,Single
2026.02.03 15:50,2026.02.03 15:52,bear,775.0,None
2026.02.03 20:09,2026.02.03 20:13,bull,1513.0,Single
2026.02.03 20:34,2026.02.03 20:40,bear,864.0,Single
2026.02.03 20:49,2026.02.03 20:51,bear,623.0,None
2026.02.03 21:40,2026.02.03 21:42,bear,510.0,None
2026.02.04 00:33,2026.02.04 00:36,bear,1747.0,Single
2026.02.04 01:00,2026.02.04 01:03,bull,2025.0,Single
2026.02.04 02:50,2026.02.04 02:56,bear,2458.0,Single
2026.02.04 04:53,2026.02.04 04:59,bull,1953.0,Single
2026.02.04 05:00,2026.02.04 05:06,bear,2562.0,None
2026.02.04 06:00,2026.02.04 06:06,bear,2358.0,Single
2026.02.04 06:40,2026.02.04 06:46,bull,886.0,Single
2026.02.04 07:52,2026.02.04 07:56,bull,961.0,Single
2026.02.04 07:57,2026.02.04 07:59,bull,559.0,Single
2026.02.04 10:21,2026.02.04 10:24,bull,1083.0,Single
2026.02.04 13:29,2026.02.04 13:36,bull,1708.0,Single
2026.02.04 16:41,2026.02.04 16:45,bull,784.0,Single
2026.02.04 20:09,2026.02.04 20:14,bull,791.0,Single
2026.02.04 23:08,2026.02.04 23:11,bear,1741.0,None
2026.02.05 00:29,2026.02.05 00:34,bear,3374.0,Single
2026.02.05 02:51,2026.02.05 02:59,bull,2701.0,Single
2026.02.05 03:05,2026.02.05 03:08,bear,2057.0,None
2026.02.05 03:09,2026.02.05 03:15,bull,2611.0,Single
2026.02.05 03:20,2026.02.05 03:24,bull,1857.0,Single
2026.02.05 07:41,2026.02.05 07:44,bull,743.0,Single
2026.02.05 07:59,2026.02.05 07:59,bull,164.0,None
2026.02.05 10:55,2026.02.05 10:59,bear,1118.0,Single
2026.02.05 12:53,2026.02.05 12:56,bull,3775.0,None
2026.02.05 13:04,2026.02.05 13:11,bull,3313.0,Single
