symbol,start_time_utc8,end_time_utc8,direction,spike_size_pips,duration_minutes,candle_count,opposing_candles,elbow_type
XAUUSD,2026-01-28 21:46:00+08:00,2026-01-28 21:53:00+08:00,bull,650.0,8,8,3,Double
XAUUSD,2026-01-28 21:54:00+08:00,2026-01-28 22:00:00+08:00,bear,399.0,7,7,3,Double
XAUUSD,2026-01-28 22:01:00+08:00,2026-01-28 22:04:00+08:00,bull,873.0,4,4,3,Double
XAUUSD,2026-01-28 22:05:00+08:00,2026-01-28 22:11:00+08:00,bear,729.0,7,7,3,Double
XAUUSD,2026-01-28 22:14:00+08:00,2026-01-28 22:20:00+08:00,bull,698.0,7,7,2,Double
XAUUSD,2026-01-28 22:21:00+08:00,2026-01-28 22:23:00+08:00,bull,729.0,3,3,0,None
XAUUSD,2026-01-28 22:24:00+08:00,2026-01-28 22:28:00+08:00,bull,827.0,5,5,3,Double
XAUUSD,2026-01-28 22:29:00+08:00,2026-01-28 22:36:00+08:00,bull,753.0,8,8,3,Double
XAUUSD,2026-01-28 22:37:00+08:00,2026-01-28 22:41:00+08:00,bull,667.0,5,5,3,Double
XAUUSD,2026-01-28 22:42:00+08:00,2026-01-28 22:48:00+08:00,bull,614.0,7,7,3,Double
XAUUSD,2026-01-28 22:49:00+08:00,2026-01-28 23:05:00+08:00,bull,2407.0,17,17,3,Double
XAUUSD,2026-01-28 23:06:00+08:00,2026-01-28 23:10:00+08:00,bull,838.0,5,5,3,Double
XAUUSD,2026-01-28 23:11:00+08:00,2026-01-28 23:15:00+08:00,bear,1084.0,5,5,3,Double
XAUUSD,2026-01-28 23:16:00+08:00,2026-01-28 23:20:00+08:00,bear,612.0,5,5,3,Double
XAUUSD,2026-01-28 23:21:00+08:00,2026-01-28 23:24:00+08:00,bull,725.0,4,4,0,None
XAUUSD,2026-01-28 23:25:00+08:00,2026-01-28 23:31:00+08:00,bull,685.0,7,7,3,Double
XAUUSD,2026-01-28 23:32:00+08:00,2026-01-28 23:41:00+08:00,bear,1945.0,10,10,3,Double
XAUUSD,2026-01-28 23:42:00+08:00,2026-01-28 23:47:00+08:00,bear,1215.0,6,6,3,Double
XAUUSD,2026-01-28 23:48:00+08:00,2026-01-28 23:52:00+08:00,bull,370.0,5,5,3,Double
XAUUSD,2026-01-28 23:53:00+08:00,2026-01-28 23:59:00+08:00,bear,757.0,7,7,3,Double
XAUUSD,2026-01-29 00:00:00+08:00,2026-01-29 00:08:00+08:00,bear,2161.0,9,9,3,Double
XAUUSD,2026-01-29 00:10:00+08:00,2026-01-29 00:15:00+08:00,bull,666.0,6,6,1,Single
XAUUSD,2026-01-29 00:16:00+08:00,2026-01-29 00:23:00+08:00,bull,931.0,8,8,3,Double
XAUUSD,2026-01-29 00:24:00+08:00,2026-01-29 00:33:00+08:00,bear,1978.0,10,10,3,Double
XAUUSD,2026-01-29 00:34:00+08:00,2026-01-29 00:41:00+08:00,bull,2865.0,8,8,1,Single
XAUUSD,2026-01-29 00:42:00+08:00,2026-01-29 00:46:00+08:00,bull,1037.0,5,5,2,Double
XAUUSD,2026-01-29 00:48:00+08:00,2026-01-29 00:53:00+08:00,bull,970.0,6,6,3,Double
XAUUSD,2026-01-29 00:54:00+08:00,2026-01-29 00:57:00+08:00,bear,1076.0,4,4,3,Double
XAUUSD,2026-01-29 00:58:00+08:00,2026-01-29 01:06:00+08:00,bull,1807.0,9,9,1,Single
XAUUSD,2026-01-29 01:07:00+08:00,2026-01-29 01:14:00+08:00,bear,6255.0,8,8,3,Double
XAUUSD,2026-01-29 01:15:00+08:00,2026-01-29 01:19:00+08:00,bull,2325.0,5,5,3,Double
XAUUSD,2026-01-29 01:20:00+08:00,2026-01-29 01:25:00+08:00,bull,1951.0,6,6,3,Double
XAUUSD,2026-01-29 01:26:00+08:00,2026-01-29 01:30:00+08:00,bear,1925.0,5,5,3,Double
XAUUSD,2026-01-29 01:32:00+08:00,2026-01-29 01:39:00+08:00,bear,1248.0,8,8,3,Double
XAUUSD,2026-01-29 01:40:00+08:00,2026-01-29 01:45:00+08:00,bull,990.0,6,6,3,Double
XAUUSD,2026-01-29 01:46:00+08:00,2026-01-29 01:53:00+08:00,bear,1289.0,8,8,2,Double
XAUUSD,2026-01-29 01:54:00+08:00,2026-01-29 02:02:00+08:00,bull,1384.0,9,9,3,Double
XAUUSD,2026-01-29 02:03:00+08:00,2026-01-29 02:07:00+08:00,bear,1136.0,5,5,3,Double
XAUUSD,2026-01-29 02:08:00+08:00,2026-01-29 02:13:00+08:00,bull,781.0,6,6,3,Double
XAUUSD,2026-01-29 02:14:00+08:00,2026-01-29 02:20:00+08:00,bull,1072.0,7,7,3,Double
XAUUSD,2026-01-29 02:21:00+08:00,2026-01-29 02:25:00+08:00,bull,792.0,5,5,3,Double
XAUUSD,2026-01-29 02:26:00+08:00,2026-01-29 02:29:00+08:00,bull,661.0,4,4,0,None
XAUUSD,2026-01-29 02:30:00+08:00,2026-01-29 02:37:00+08:00,bear,1295.0,8,8,3,Double
XAUUSD,2026-01-29 02:38:00+08:00,2026-01-29 02:41:00+08:00,bull,580.0,4,4,1,Single
XAUUSD,2026-01-29 02:42:00+08:00,2026-01-29 02:46:00+08:00,bear,1490.0,5,5,3,Double
XAUUSD,2026-01-29 02:47:00+08:00,2026-01-29 02:52:00+08:00,bear,1017.0,6,6,1,Single
XAUUSD,2026-01-29 02:53:00+08:00,2026-01-29 03:02:00+08:00,bull,1731.0,10,10,1,Single
XAUUSD,2026-01-29 03:03:00+08:00,2026-01-29 03:11:00+08:00,bear,1226.0,9,9,3,Double
XAUUSD,2026-01-29 03:12:00+08:00,2026-01-29 03:16:00+08:00,bear,492.0,5,5,2,Double
XAUUSD,2026-01-29 03:17:00+08:00,2026-01-29 03:22:00+08:00,bear,1170.0,6,6,3,Double
XAUUSD,2026-01-29 03:23:00+08:00,2026-01-29 03:27:00+08:00,bear,648.0,5,5,2,Double
XAUUSD,2026-01-29 03:29:00+08:00,2026-01-29 03:32:00+08:00,bull,828.0,4,4,3,Double
XAUUSD,2026-01-29 03:34:00+08:00,2026-01-29 03:40:00+08:00,bear,1504.0,7,7,3,Double
XAUUSD,2026-01-29 03:42:00+08:00,2026-01-29 03:47:00+08:00,bull,949.0,6,6,3,Double
XAUUSD,2026-01-29 03:48:00+08:00,2026-01-29 04:00:00+08:00,bull,2004.0,13,13,2,Double
XAUUSD,2026-01-29 04:01:00+08:00,2026-01-29 04:07:00+08:00,bear,1098.0,7,7,3,Double
XAUUSD,2026-01-29 04:08:00+08:00,2026-01-29 04:14:00+08:00,bear,1052.0,7,7,3,Double
XAUUSD,2026-01-29 04:15:00+08:00,2026-01-29 04:26:00+08:00,bull,2712.0,12,12,3,Double
XAUUSD,2026-01-29 04:28:00+08:00,2026-01-29 04:37:00+08:00,bear,4291.0,10,10,3,Double
XAUUSD,2026-01-29 04:38:00+08:00,2026-01-29 04:43:00+08:00,bear,1649.0,6,6,3,Double
XAUUSD,2026-01-29 04:44:00+08:00,2026-01-29 04:49:00+08:00,bear,1070.0,6,6,3,Double
XAUUSD,2026-01-29 04:50:00+08:00,2026-01-29 04:53:00+08:00,bull,960.0,4,4,1,Single
XAUUSD,2026-01-29 04:54:00+08:00,2026-01-29 04:58:00+08:00,bear,867.0,5,5,3,Double
XAUUSD,2026-01-29 04:59:00+08:00,2026-01-29 05:16:00+08:00,bull,3250.0,18,18,3,Double
XAUUSD,2026-01-29 05:17:00+08:00,2026-01-29 05:22:00+08:00,bull,1236.0,6,6,3,Double
XAUUSD,2026-01-29 05:23:00+08:00,2026-01-29 05:26:00+08:00,bull,1207.0,4,4,3,Double
XAUUSD,2026-01-29 05:27:00+08:00,2026-01-29 05:34:00+08:00,bull,1276.0,8,8,2,Double
XAUUSD,2026-01-29 05:35:00+08:00,2026-01-29 05:44:00+08:00,bull,2071.0,10,10,3,Double
XAUUSD,2026-01-29 05:45:00+08:00,2026-01-29 05:50:00+08:00,bear,1507.0,6,6,3,Double
XAUUSD,2026-01-29 05:51:00+08:00,2026-01-29 05:55:00+08:00,bear,887.0,5,5,3,Double
XAUUSD,2026-01-29 05:56:00+08:00,2026-01-29 06:02:00+08:00,bull,2026.0,7,7,3,Double
XAUUSD,2026-01-29 06:03:00+08:00,2026-01-29 06:10:00+08:00,bull,1373.0,8,8,3,Double
XAUUSD,2026-01-29 06:11:00+08:00,2026-01-29 06:15:00+08:00,bull,1114.0,5,5,3,Double
XAUUSD,2026-01-29 06:16:00+08:00,2026-01-29 06:31:00+08:00,bull,4065.0,16,16,3,Double
XAUUSD,2026-01-29 06:32:00+08:00,2026-01-29 06:40:00+08:00,bull,2400.0,9,9,3,Double
XAUUSD,2026-01-29 06:41:00+08:00,2026-01-29 06:50:00+08:00,bull,1566.0,10,10,3,Double
XAUUSD,2026-01-29 06:51:00+08:00,2026-01-29 06:56:00+08:00,bear,2216.0,6,6,3,Double
XAUUSD,2026-01-29 06:57:00+08:00,2026-01-29 07:02:00+08:00,bear,1688.0,6,6,3,Double
XAUUSD,2026-01-29 07:03:00+08:00,2026-01-29 07:09:00+08:00,bull,1320.0,7,7,3,Double
