symbol,start_time_utc8,end_time_utc8,direction,spike_size_pips,duration_minutes,candle_count,opposing_candles,elbow_type,h4_final_hour
XAUUSD,2026-01-29 16:02:00+08:00,2026-01-29 16:07:00+08:00,bull,1703.0,6,6,1,Single,False
XAUUSD,2026-01-29 17:01:00+08:00,2026-01-29 17:05:00+08:00,bull,1038.0,5,5,1,Single,False
XAUUSD,2026-01-29 18:49:00+08:00,2026-01-29 18:54:00+08:00,bull,1490.0,6,6,0,None,True
XAUUSD,2026-01-29 19:54:00+08:00,2026-01-29 19:59:00+08:00,bear,525.0,6,6,1,Single,False
XAUUSD,2026-01-29 20:00:00+08:00,2026-01-29 20:04:00+08:00,bear,611.0,5,5,1,Single,False
XAUUSD,2026-01-29 21:14:00+08:00,2026-01-29 21:23:00+08:00,bull,1236.0,10,10,1,Single,False
XAUUSD,2026-01-29 21:24:00+08:00,2026-01-29 21:28:00+08:00,bear,340.0,5,5,1,Single,False
XAUUSD,2026-01-29 22:00:00+08:00,2026-01-29 22:03:00+08:00,bear,402.0,4,4,0,None,True
XAUUSD,2026-01-30 00:15:00+08:00,2026-01-30 00:21:00+08:00,bear,1285.0,7,7,1,Single,False
XAUUSD,2026-01-30 02:23:00+08:00,2026-01-30 02:32:00+08:00,bull,7378.0,10,10,1,Single,True
XAUUSD,2026-01-30 04:21:00+08:00,2026-01-30 04:25:00+08:00,bear,3241.0,5,5,0,None,False
XAUUSD,2026-01-30 04:31:00+08:00,2026-01-30 04:34:00+08:00,bull,3076.0,4,4,0,None,False
XAUUSD,2026-01-30 07:58:00+08:00,2026-01-30 07:59:00+08:00,bear,865.0,2,2,1,Single,False
XAUUSD,2026-01-30 12:25:00+08:00,2026-01-30 12:29:00+08:00,bull,4624.0,5,5,1,Single,False
XAUUSD,2026-01-30 12:47:00+08:00,2026-01-30 12:52:00+08:00,bull,2366.0,6,6,1,Single,False
XAUUSD,2026-01-30 19:07:00+08:00,2026-01-30 19:11:00+08:00,bear,3411.0,5,5,0,None,False
XAUUSD,2026-01-30 19:12:00+08:00,2026-01-30 19:16:00+08:00,bear,5462.0,5,5,1,Single,False
XAUUSD,2026-01-30 21:29:00+08:00,2026-01-30 21:32:00+08:00,bull,1463.0,4,4,1,Single,False
XAUUSD,2026-01-30 21:38:00+08:00,2026-01-30 21:43:00+08:00,bull,1132.0,6,6,1,Single,False
XAUUSD,2026-01-30 23:33:00+08:00,2026-01-30 23:39:00+08:00,bull,2247.0,7,7,1,Single,False
XAUUSD,2026-01-31 00:43:00+08:00,2026-01-31 00:47:00+08:00,bull,2252.0,5,5,1,Single,False
XAUUSD,2026-01-31 04:56:00+08:00,2026-01-31 04:59:00+08:00,bull,3292.0,4,4,1,Single,False
